iccs,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0102,NR,FR	1869 	1474 	1306 	1403 	1203 	1071 	948 	1060 
ICCS0102,NR,HR	105 	113 	126 	101 	123 	125 	: 	: 
ICCS0102,NR,HU	86 	106 	105 	108 	133 	143 	136 	145 
ICCS0102,NR,IS	1 	5 	5 	6 	3 	4 	4 	: 
ICCS0102,NR,IT	1203 	1218 	1588 	1327 	1399 	1309 	1346 	1621 
ICCS0102,NR,LI	0 	0 	0 	0 	3 	0 	0 	1 
ICCS0102,NR,LT	21 	19 	14 	18 	23 	18 	19 	15 
ICCS0102,NR,LU	65 	84 	84 	110 	89 	77 	79 	84 
ICCS0102,NR,LV	2 	4 	5 	13 	22 	13 	0 	20 
ICCS0102,NR,ME	40 	54 	40 	16 	17 	42 	41 	18 
ICCS0102,NR,MK	: 	56 	52 	48 	39 	38 	46 	41 
ICCS0102,NR,MT	1 	5 	3 	6 	6 	4 	6 	5 
ICCS0102,NR,NL	: 	: 	3260 	3615 	3957 	3841 	3041 	1500 
ICCS0102,NR,NO	: 	60 	57 	50 	39 	47 	46 	49 
ICCS0102,NR,PL	216 	249 	277 	214 	219 	254 	: 	: 
ICCS0102,NR,RO	482 	492 	595 	591 	502 	513 	387 	410 
ICCS0102,NR,RS	139 	172 	216 	203 	186 	204 	211 	204 
ICCS0102,NR,SI	26 	16 	28 	30 	34 	31 	38 	19 
ICCS0102,NR,SK	0 	-14 	0 	0 	0 	0 	0 	0 
ICCS0102,NR,UKM	: 	260 	340 	403 	542 	518 	614 	698 
ICCS0102,NR,UKN	112 	111 	102 	116 	111 	118 	114 	121 
ICCS0102,NR,XK	155 	163 	168 	161 	197 	151 	183 	157 
ICCS0102,P_HTHAB,AL	: 	: 	: 	: 	7.56 	: 	7.25 	7.63 
ICCS0102,P_HTHAB,AT	1.12 	0.81 	1.24 	1.30 	1.25 	1.34 	1.22 	0.70 
ICCS0102,P_HTHAB,BA	: 	: 	: 	1.22 	1.30 	1.74 	: 	2.39 
ICCS0102,P_HTHAB,BE	7.70 	7.55 	7.24 	7.54 	7.79 	7.03 	6.93 	6.38 
ICCS0102,P_HTHAB,BG	0.46 	0.63 	0.92 	0.61 	0.83 	0.84 	0.88 	0.80 
ICCS0102,P_HTHAB,CH	1.71 	1.62 	1.89 	2.31 	2.34 	2.40 	2.40 	1.46 
ICCS0102,P_HTHAB,CY	1.30 	1.17 	0.92 	1.39 	1.55 	1.34 	2.38 	1.67 
ICCS0102,P_HTHAB,CZ	0.67 	0.75 	0.87 	0.89 	0.86 	0.65 	0.73 	0.86 
ICCS0102,P_HTHAB,DE	1.91 	2.01 	1.98 	1.98 	1.94 	1.98 	2.01 	1.96 
ICCS0102,P_HTHAB,DK	2.49 	2.63 	2.95 	2.54 	2.66 	2.75 	: 	: 
ICCS0102,P_HTHAB,EE	0.61 	1.06 	0.76 	1.28 	2.63 	1.05 	1.87 	1.49 
ICCS0102,P_HTHAB,EL	1.56 	1.42 	1.61 	1.67 	1.64 	1.74 	1.69 	1.48 
ICCS0102,P_HTHAB,ES	1.54 	1.56 	1.42 	1.63 	1.75 	1.65 	1.80 	1.94 
ICCS0102,P_HTHAB,FI	5.46 	6.00 	4.86 	6.46 	5.73 	5.74 	6.87 	6.85 
ICCS0102,P_HTHAB,FR	2.81 	2.24 	1.99 	2.15 	1.85 	1.66 	1.47 	1.66 
ICCS0102,P_HTHAB,HR	2.49 	2.66 	2.96 	2.36 	2.87 	2.91 	: 	: 
ICCS0102,P_HTHAB,HU	0.87 	1.07 	1.06 	1.09 	1.33 	1.43 	1.36 	1.44 
ICCS0102,P_HTHAB,IS	0.30 	1.54 	1.55 	1.88 	0.94 	1.26 	1.25 	: 
ICCS0102,P_HTHAB,IT	1.98 	2.00 	2.66 	2.23 	2.36 	2.21 	2.28 	2.76 
ICCS0102,P_HTHAB,LI	0.00 	0.00 	0.00 	0.00 	8.30 	0.00 	0.00 	2.83 
ICCS0102,P_HTHAB,LT	0.72 	0.65 	0.47 	0.60 	0.75 	0.57 	0.60 	0.47 
ICCS0102,P_HTHAB,LU	11.55 	15.28 	15.64 	20.96 	17.39 	15.34 	16.01 	17.36 
ICCS0102,P_HTHAB,LV	0.10 	0.20 	0.25 	0.64 	1.06 	0.61 	0.00 	0.91 
ICCS0102,P_HTHAB,ME	6.43 	8.69 	6.44 	2.58 	2.74 	6.79 	6.64 	2.92 
ICCS0102,P_HTHAB,MK	: 	2.71 	2.52 	2.33 	1.90 	1.85 	2.25 	2.00 
ICCS0102,P_HTHAB,MT	0.23 	1.18 	0.71 	1.44 	1.45 	0.97 	1.46 	1.23 
ICCS0102,P_HTHAB,NL	: 	: 	19.43 	21.61 	23.76 	23.17 	18.45 	9.14 
ICCS0102,P_HTHAB,NO	: 	1.17 	1.13 	1.00 	0.79 	0.97 	0.96 	1.03 
ICCS0102,P_HTHAB,PL	0.57 	0.65 	0.73 	0.56 	0.58 	0.67 	: 	: 
ICCS0102,P_HTHAB,RO	2.43 	2.47 	2.97 	2.94 	2.34 	2.39 	1.89 	1.99 
ICCS0102,P_HTHAB,RS	1.95 	2.41 	3.01 	2.81 	2.56 	2.79 	2.88 	2.77 
ICCS0102,P_HTHAB,SI	1.26 	0.78 	1.36 	1.46 	1.66 	1.51 	1.87 	0.95 
ICCS0102,P_HTHAB,SK	0.00 	-0.26 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS0102,P_HTHAB,UKM	: 	4.87 	6.39 	7.59 	10.26 	9.87 	11.77 	13.46 
ICCS0102,P_HTHAB,UKN	6.06 	6.04 	5.58 	6.38 	6.13 	6.56 	6.38 	6.83 
ICCS0102,P_HTHAB,XK	: 	: 	: 	: 	10.98 	6.84 	8.39 	7.29 
ICCS02011,NR,AL	169 	132 	163 	156 	169 	178 	379 	363 
ICCS02011,NR,AT	3461 	3640 	3734 	4030 	3897 	3606 	4023 	3945 
ICCS02011,NR,BA	992 	592 	577 	618 	652 	505 	: 	1474 
ICCS02011,NR,BE	67790 	70238 	69746 	72312 	78778 	77758 	77665 	76314 
ICCS02011,NR,BG	2520 	2533 	2470 	2410 	2462 	3038 	3122 	3216 
ICCS02011,NR,CH	616 	609 	568 	597 	487 	487 	524 	8893 
ICCS02011,NR,CY	141 	134 	132 	148 	164 	173 	219 	167 
ICCS02011,NR,CZ	15669 	16949 	18689 	18358 	19409 	18073 	16887 	17875 
ICCS02011,NR,DE	127395 	125752 	127869 	136077 	139091 	142903 	149301 	518499 
ICCS02011,NR,DK	1460 	1533 	1503 	9557 	1696 	1753 	1603 	1663 
ICCS02011,NR,EE	98 	77 	99 	99 	104 	103 	106 	140 
ICCS02011,NR,EL	1624 	1459 	1610 	1692 	1425 	1101 	7869 	8008 
ICCS02011,NR,ES	29056 	16776 	16701 	17353 	18290 	25077 	80910 	72803 
ICCS02011,NR,FI	1544 	1634 	1779 	1856 	2035 	1974 	2083 	2228 
ICCS02011,NR,FR	244141.02 	237915.5 	233304.05 	231733.31 	231306.5 	231909.06 	220126 	187937 
ICCS02011,NR,HR	804 	766 	823 	903 	873 	986 	1059 	1128 
ICCS02011,NR,HU	12595 	13475 	13377 	13973 	14212 	14569 	12787 	12757 
ICCS02011,NR,IE	14881 	13525 	12644 	13566 	14709 	15038 	15580 	16186 
ICCS02011,NR,IS	85 	101 	92 	74 	60 	57 	79 	77 
ICCS02011,NR,IT	64042 	66178 	66317 	69527 	68500 	64866 	65611 	65791 
ICCS02011,NR,LI	123 	120 	103 	69 	78 	77 	90 	88 
ICCS02011,NR,LT	214 	204 	211 	178 	206 	245 	220 	251 
ICCS02011,NR,LU	608 	728 	713 	677 	681 	596 	2350 	2317 
ICCS02011,NR,LV	534 	569 	458 	1325 	1161 	1226 	1215 	1346 
ICCS02011,NR,ME	140 	129 	173 	168 	161 	193 	186 	196 
ICCS02011,NR,MK	: 	215 	216 	211 	239 	248 	228 	213 
ICCS02011,NR,MT	183 	160 	218 	174 	181 	180 	173 	196 
ICCS02011,NR,NL	47695 	50350 	52850 	57300 	59425 	60280 	65690 	69005 
ICCS02011,NR,NO	: 	2377 	2566 	2781 	2837 	2925 	3093 	3279 
ICCS02011,NR,PL	5520 	7128 	8571 	9721 	10703 	11011 	12559 	: 
ICCS02011,NR,PT	469 	542 	508 	701 	812 	863 	33205 	33494 
ICCS02011,NR,RO	299 	2279 	17572 	17219 	12299 	12301 	9072 	9457 
ICCS02011,NR,RS	1142 	1147 	1286 	1323 	1309 	1391 	1442 	1582 
ICCS02011,NR,SE	4632 	4570 	4659 	5338 	5684 	5594 	86281 	84566 
ICCS02011,NR,SI	1540 	1657 	1849 	2032 	1974 	2182 	2177 	2135 
ICCS02011,NR,SK	1900 	1957 	2017 	2183 	2227 	2426 	2618 	2702 
ICCS02011,NR,TR	: 	: 	: 	262330 	238395 	220882 	194059 	: 
ICCS02011,NR,UKC-L	429260 	372731 	321535 	310953 	336867 	366878 	399713 	419119 
ICCS02011,NR,UKM	: 	3166 	3268 	3643 	4693 	5493 	5621 	79892 
ICCS02011,NR,UKN	1206 	1172 	1093 	1278 	1446 	1451 	1605 	1549 
ICCS02011,NR,XK	890 	911 	653 	3805 	3743 	3760 	3539 	3376 
ICCS02011,P_HTHAB,AL	: 	: 	: 	: 	5.97 	: 	11.90 	11.45 
ICCS02011,P_HTHAB,AT	40.36 	42.79 	44.18 	47.93 	46.53 	43.18 	48.27 	47.48 
ICCS02011,P_HTHAB,BA	: 	: 	: 	16.10 	16.97 	13.14 	: 	38.35 
ICCS02011,P_HTHAB,BE	603.26 	628.20 	624.87 	651.76 	716.12 	717.33 	722.26 	715.43 
ICCS02011,P_HTHAB,BG	34.99 	34.96 	33.91 	32.89 	33.41 	40.93 	41.81 	42.78 
ICCS02011,P_HTHAB,CH	7.48 	7.48 	7.07 	7.51 	6.19 	6.25 	6.80 	117.11 
ICCS02011,P_HTHAB,CY	16.65 	15.62 	15.24 	17.17 	19.53 	21.12 	27.48 	21.51 
ICCS02011,P_HTHAB,CZ	148.69 	161.23 	177.72 	174.75 	185.08 	172.75 	161.97 	172.82 
ICCS02011,P_HTHAB,DE	156.90 	155.70 	158.80 	169.40 	173.38 	174.69 	182.07 	630.64 
ICCS02011,P_HTHAB,DK	25.80 	27.24 	26.83 	171.26 	30.50 	31.67 	29.08 	30.37 
ICCS02011,P_HTHAB,EE	7.45 	5.85 	7.50 	7.47 	7.82 	7.73 	7.94 	10.46 
ICCS02011,P_HTHAB,EL	14.96 	13.35 	14.63 	15.26 	12.81 	9.90 	70.93 	71.61 
ICCS02011,P_HTHAB,ES	62.55 	36.07 	35.74 	37.06 	39.19 	53.94 	174.98 	159.41 
ICCS02011,P_HTHAB,FI	28.22 	29.97 	32.78 	34.36 	37.86 	36.89 	39.11 	42.03 
ICCS02011,P_HTHAB,FR	367.19 	360.79 	355.64 	355.00 	355.97 	358.67 	342.07 	293.62 
ICCS02011,P_HTHAB,HR	19.03 	18.04 	19.31 	21.12 	20.35 	22.92 	24.57 	26.16 
ICCS02011,P_HTHAB,HU	127.80 	136.42 	135.00 	140.69 	142.32 	145.48 	127.48 	126.99 
ICCS02011,P_HTHAB,IE	321.48 	293.67 	275.40 	296.03 	321.80 	330.55 	344.59 	363.10 
ICCS02011,P_HTHAB,IS	25.83 	31.01 	28.58 	23.16 	18.84 	17.95 	24.74 	24.41 
ICCS02011,P_HTHAB,IT	105.34 	108.88 	111.11 	117.06 	115.39 	109.59 	111.20 	112.17 
