s_adj,nace_r2,sizeclas,indic_em,geo\time	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 
NSA,A,GE10,JOBOCC,HR	20870 b	20958 b	20074 b	19646 b	20945 b	20961 b	20068 b	19872 b	21405 	21654 	21928 	20260 	20395 	20343 	20293 	20504 	19553 	19792 	19733 	19508 	22163 	22567 	22703 	22219 	21722 	22145 	21779 	21269 	20460 	20732 	20368 	20397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,HU	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,LT	23681 	25064 	25083 	23915 	24324 	25434 	25570 	24296 	25029 	26282 	26575 	25355 	25319 	26792 	27050 	25136 	24445 	26160 	25817 	23870 	24598 	26254 	26121 	23778 	23810 	25255 	25379 	23019 	23403 	24760 	24824 	22824 	23974 	25941 	26256 	25817 	27478 	29561 	29656 	28168 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,LU	495 	485 	478 	474 	460 	461 	466 	452 	454 	445 	443 	437 	441 	433 	438 	437 	435 	424 	426 	417 	664 	642 	643 	632 	641 	606 	591 	578 	571 	563 	560 	538 	542 	533 	515 	516 	497 	493 	480 	477 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,LV	13832 	15161 	16003 	14130 	13843 	15314 	15708 	13930 	14367 	15982 	15898 	14583 	14857 	16107 	16221 	15008 	14620 	16291 	16697 	14988 	14427 	16588 	16650 	15128 	14115 	15410 	16077 	13984 	12973 	14644 	14460 	12963 	12821 	14054 	14885 	14244 	15246 	17128 	17662 	16277 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,NO	23034 	23895 	18681 	17088 	21674 	22871 	17824 	15289 	20708 	22301 	16916 	14014 	16356 	17130 	15297 	14117 	15118 	15899 	13750 	13870 	15206 	15915 	13635 	13914 	17865 	18542 	14920 	15086 	17018 	18096 	15492 	15231 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,PL	76021 	78072 	77823 	77277 	73249 	74203 	75054 	75092 	76082 	77828 	78255 	77569 	72860 	73727 	74152 	73834 	73730 	75400 	75130 	74712 	75897 	77230 	77428 	77596 	73087 	75127 	75168 	75984 	78984 	78655 	79378 	78423 	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,RO	98441 	98285 	96932 	94144 	95536 	96004 	93188 	89223 	88891 	88515 	84332 	78346 	81013 	82752 	81330 	75886 	77720 	79411 	77895 	71973 	71320 	74030 	73329 	64572 	69023 	70544 	69661 	61820 	64155 	69679 	69274 	65015 	67673 	73636 	74477 	69871 	76253 	79442 	76696 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,SE	12430 	14546 	15042 	10608 	11586 	13141 	13610 	11679 	12336 	12730 	13137 	11530 	11487 	: c	12127 	11393 	11547 	12135 	11694 	10350 	11023 	12267 	12213 	11276 	11405 	11367 	11217 	10160 	: c	: c	: c	: c	9285 	10502 	11055 	8727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,SK	33060 	34742 	33930 	33744 	35435 	37267 	36995 	34848 	37722 	38029 	38179 	37220 	36814 	38508 	38555 	36411 	31062 	39603 	37576 	37513 	37415 	41770 	41973 	40149 	42588 	43568 	45109 	47883 	41341 	39451 	38655 	38982 	39634 	44344 	45229 	42883 	49366 	52793 	53186 	52813 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBRATE,BG	0.9 p	0.8 p	0.7 p	1.0 p	1.1 p	0.4 p	0.4 p	0.7 p	0.9 p	0.5 p	0.4 p	1.0 p	0.6 	0.3 	0.4 	1.0 	0.6 	0.4 	0.4 	0.7 	1.0 	0.4 	0.3 	1.3 	0.3 	0.3 	0.4 	0.7 	2.9 	0.4 	0.4 	0.7 	0.5 	0.4 	0.2 	0.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBRATE,CZ	6.3 	5.6 	5.8 	5.4 	3.3 	3.0 	3.3 	3.2 	2.5 	2.5 	2.9 	2.5 	1.8 	1.6 	2.0 	2.3 	1.0 	0.8 	1.0 	1.1 	0.8 	1.2 	1.4 	1.3 	0.9 	0.8 	0.7 	0.9 	0.8 	0.8 	0.8 	1.2 	1.2 	1.4 	1.7 	2.2 	2.9 	3.1 	3.6 	3.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBRATE,DE	1.9 	3.4 	2.7 	3.1 	2.9 	0.7 	2.2 	2.5 	2.0 	1.3 	1.3 	1.5 	1.1 	1.1 	1.8 	1.6 	1.5 	0.5 	0.8 	2.2 	1.5 	1.8 	2.4 	1.0 	0.9 	2.8 	1.4 	1.3 	1.5 	1.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBRATE,EE	1.5 	0.8 	1.2 	1.4 	0.9 	0.5 	0.3 	0.1 	0.2 	0.5 	0.4 	0.7 	0.3 	0.3 	0.2 	0.4 	0.4 	0.5 	0.2 	0.6 	0.4 	0.7 	0.2 	0.6 	0.4 	0.3 	0.4 	0.4 	0.7 	0.9 	0.5 	0.6 	0.6 	0.7 	0.3 	0.6 	1.5 	2.0 	2.0 	2.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
