unit,facility,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDI_PSY,LU	: 	1260.19 	1230.79 	1202.12 	1159.27 	1141.73 	1136.67 	1116.11 	1131.13 	1111.09 	1094.07 	1029.11 	914.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,LV	: 	792.28 	793.39 	797.40 	777.94 	774.63 	808.03 	744.66 	646.35 	648.46 	647.96 	644.94 	636.79 	640.41 	631.89 	586.85 	538.46 b	542.31 	505.14 	510.35 	505.71 	457.15 	452.72 	441.57 	443.56 	416.82 	384.07 	378.02 	484.20 	480.18 	475.30 	486.12 	: 	: 	: 	: 	486.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,ME	: 	2026.58 	2025.44 	1997.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,MK	: 	1984.88 	2040.94 	1829.82 	1775.23 	1793.15 	1807.39 	1763.26 	1752.48 	1749.62 	1710.17 	1649.28 	1565.90 	1492.47 	1486.93 	1468.17 	1413.07 	1373.14 	1366.59 	1416.22 	1329.89 	1288.18 	1288.55 	1303.04 	1274.05 	1169.89 	1158.86 	1215.09 	1277.46 	1266.87 	1279.66 	1280.60 	: 	: 	: 	: 	1244.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,MT	: 	759.01 	749.76 	689.53 	708.54 	699.11 	689.53 	642.84 	593.59 	590.26 	592.43 	588.68 	621.16 	701.73 	718.64 	698.10 	579.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,NL	: 	: 	: 	789.72 	792.35 b	: 	: 	718.09 	728.00 	742.26 	731.37 b	710.89 	733.08 	720.68 	712.51 	649.62 b	642.34 	604.62 	601.74 	585.61 	582.21 	585.19 b	576.61 	572.52 	572.08 	566.38 	563.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,NO	: 	879.72 	860.80 	863.73 	826.10 	771.51 	748.97 	727.77 	714.23 	676.51 	654.22 	644.99 	656.93 	810.38 	789.11 b	1375.30 	1444.97 	1416.03 	1389.17 	1450.50 	1454.14 	1400.77 	1365.86 	1291.79 	1294.99 	1229.23 	1127.45 	956.31 	843.92 	813.78 	819.22 	789.30 	: 	: 	: 	: 	521.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,PL	: 	1530.91 	1534.59 	1562.10 	1564.65 b	1587.20 	1591.43 	1559.75 	1542.74 	1501.99 	1470.93 	1483.82 	1457.84 	1399.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,PT	: 	1573.22 e	1594.77 	1545.34 	1600.19 	1560.99 	1555.89 	1530.29 	1496.54 	1464.03 	1446.15 	1412.81 	1382.38 	1383.47 	1403.79 	1330.36 	1296.05 	1257.35 b	1455.78 	1417.89 	1374.02 	1394.85 	1398.39 	1390.33 	1372.70 	1164.74 	1134.59 	1136.42 	1132.80 	1099.66 	1116.36 	1182.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,RO	: 	1180.55 	1186.26 	1188.09 	1198.14 	1284.14 	1275.08 	1252.28 	1279.66 	1279.96 	1273.31 	1311.41 	1316.87 	1312.37 	1204.99 	1207.95 	1226.46 	1125.12 b	1129.89 	1120.97 	1128.47 	1130.37 	1125.26 	1114.86 	1109.86 	1047.36 	1048.39 	1048.84 	1041.26 	1034.04 	1018.68 	1014.32 	: 	: 	: 	: 	995.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,RS	: 	: 	1324.40 	1326.94 	1338.62 	1307.65 	1312.12 	1355.71 	1372.85 	1342.11 	1313.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,SE	: 	2257.36 	2219.30 	2184.88 	2171.39 b	2130.12 	2104.13 	2090.02 	2081.65 	2047.93 	2028.26 	2077.20 	1995.46 	1944.90 	1840.20 	1704.86 b	1594.27 	1530.91 	1507.32 	1411.53 	1215.09 	1054.34 	896.27 	802.44 	731.73 	664.92 	588.92 	546.70 	500.86 	471.31 	436.18 	399.43 	349.50 	341.94 	335.02 	321.96 	308.23 	295.95 	277.64 	269.42 	262.29 	253.86 	246.29 	239.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,SI	: 	1492.07 	1510.61 	1509.12 	1501.58 	1527.41 	1536.82 	1523.28 	1446.90 	1468.46 	1403.40 	1359.02 	1357.59 	1356.72 	1350.39 	1331.59 	1304.21 	1290.20 	1251.82 	1254.55 	1243.67 	1248.35 	1248.08 	1249.53 	1236.99 	1238.80 	1238.02 	1236.90 	1236.18 	1232.82 	1218.07 	1203.00 	: 	: 	: 	: 	1046.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,SK	: 	1237.46 	1222.90 	1225.58 	1287.83 	1301.44 	1253.17 	1249.67 	1234.67 	1212.88 	1194.37 	1196.58 	1152.80 	1113.56 	1063.05 	1075.13 	1071.10 	1080.28 	1079.18 	1075.58 	1104.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,TR	: 	18487.00 	18122.07 	17337.80 	17112.64 	16341.62 	15588.69 	15191.73 	16299.99 	19999.36 	16003.74 	17829.04 	18183.24 	16927.22 	15910.02 	15781.82 	18580.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,UK	: 	2408.61 	2169.54 	2090.43 	2014.24 	1910.84 	1837.23 b	1650.19 	1575.53 	1520.18 	1447.92 	1352.23 	1272.89 	1205.55 	1180.54 	1139.67 	1088.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	343.96 	337.21 	338.44 	332.51 	327.01 	319.34 	307.65 	301.21 	315.08 	328.60 	329.55 	320.15 	314.91 	334.81 	263.18 	248.28 	247.41 	247.44 	245.47 	254.44 	252.51 	246.32 	242.22 	241.91 	244.96 	240.48 	238.90 	234.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,AT	: 	132.54 	131.78 	130.80 	130.31 	130.77 	131.07 	130.57 	130.23 	129.08 	130.51 	130.09 	129.29 	129.31 	128.10 	127.42 	125.82 	123.73 	122.02 	119.86 	118.49 	117.14 	116.33 	115.03 	113.19 	110.56 	107.65 	105.11 	103.60 	102.14 	100.89 	100.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,BE	: 	161.68 	160.30 	159.89 	158.90 	157.51 	155.63 	153.65 	152.11 	150.80 	149.16 b	134.69 	133.81 	133.19 	132.01 	130.60 	128.72 	127.98 	127.11 	125.95 	125.44 	134.89 	131.64 	129.86 	129.07 	129.58 	129.95 	120.26 	119.17 	111.47 	110.08 	107.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,BG	: 	138.22 	140.26 	146.70 	151.24 	155.06 	152.58 	151.58 	153.99 	157.13 	161.34 	155.96 	163.10 	159.11 	154.19 	140.75 	134.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,CH	: 	218.16 	218.13 	213.80 	208.24 	205.34 	201.48 	195.91 	191.90 	186.56 	185.49 	180.53 	176.38 	171.70 	168.21 	165.66 	159.05 	151.33 	150.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
