unit,facility,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,HBEDT_CUR,LT	: 	17671.00 d	18504.00 d	18918.00 d	19354.00 d	19607.00 d	19650.00 d	20156.00 d	20389.00 d	20634.00 d	20774.00 d	21552.00 d	22711.00 d	23791.00 d	24759.00 d	26078.00 d	27575.00 d	28282.00 d	29202.00 d	32093.00 d	35858.00 d	37255.00 d	38402.00 d	41204.00 d	42069.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,LU	2332.00 	2332.00 	2332.00 	2332.00 b	2101.00 	2105.00 	2098.00 	2098.00 	2112.00 	2112.00 	2112.00 	2112.00 	2301.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,LV	: 	6700.00 	6748.00 	7053.00 	7242.00 	7369.00 	7433.00 	9640.00 	11489.00 	11674.00 	11832.00 	12070.00 	12353.00 	12630.00 	12758.00 	13509.00 	14481.00 b	15435.00 	16152.00 	16914.00 	18073.00 	20677.00 	23090.00 	24108.00 	25583.00 	27008.00 	26556.00 	26591.00 	31920.00 	31930.00 	31430.00 	29865.00 	: 	: 	: 	: 	29725.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,MK	: 	6169.00 	6183.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,MT	1479.00 	1400.00 	1353.00 b	1080.00 	1047.00 	1006.00 	1119.00 	1122.00 	1141.00 	1102.00 	1155.00 	1129.00 	1201.00 	1354.00 	1381.00 	1387.00 	1447.00 	1448.00 	1453.00 	1450.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,NL	: 	: 	: 	60702.00 	61173.00 b	46649.00 	47293.00 b	50640.00 	50970.00 	52010.00 	52060.00 b	46713.00 	47435.00 	47327.00 	47961.00 	46714.00 b	48627.00 	50100.00 	50623.00 	50657.00 	50497.00 	51158.00 	52057.00 b	54279.00 	55072.00 	55182.00 	55815.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,NO	: 	17433.00 	17633.00 	17525.00 	17814.00 	18748.00 	18636.00 	19300.00 	19656.00 	20514.00 	20992.00 	21163.00 	21218.00 	19841.00 	19912.00 b	17227.00 	17052.00 	17344.00 	17351.00 	17383.00 	17390.00 	17508.00 	17709.00 	17753.00 	18033.00 	18518.00 	19802.00 	20953.00 	22743.00 	24065.00 	24446.00 	24776.00 	: 	: 	: 	: 	29716.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,PL	: 	186617.00 	188342.00 	188082.00 	188696.00 b	188545.00 	189587.00 b	167347.00 	168179.00 b	175956.00 	177441.00 	178945.00 	182734.00 	185763.00 b	187074.00 	193811.00 	197080.00 	204935.00 	213732.00 	217903.00 	221431.00 	222360.00 	223900.00 	224644.00 	238070.00 	240998.00 	241169.00 	230185.00 	231847.00 	213477.00 	211501.00 	210549.00 	: 	: 	: 	: 	198158.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	167362.00 	167362.00 	164762.00 	162224.00 	159733.00 	154410.00 	151535.00 	147491.00 	143360.00 	139357.00 	135008.00 
NR,HBEDT_CUR,PT	: 	33816.00 e	33821.00 	34679.00 	35125.00 	34862.00 	34787.00 	34902.00 	35126.00 	35417.00 	35927.00 	36622.00 	37017.00 	36869.00 	36589.00 	37200.00 	37681.00 	37730.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,RO	: 	99707.00 	99547.00 	98925.00 	98101.00 	97909.00 	104032.00 	110819.00 b	96912.00 	96463.00 	98461.00 	98603.00 	96057.00 	98192.00 	115104.00 	121317.00 	120649.00 	116766.00 b	118093.00 	118318.00 	123308.00 	125974.00 	127614.00 	130354.00 	134620.00 	161333.00 	161637.00 	162122.00 	161884.00 	161224.00 	161930.00 	161021.00 	: 	: 	: 	: 	156227.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,RS	: 	32805.00 	32539.00 	32473.00 	32454.00 	32596.00 	32598.00 	32567.00 	32485.00 	32967.00 	34452.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,SE	: 	22152.00 	22763.00 	23016.00 	22988.00 b	23444.00 	23404.00 	23393.00 	23515.00 	23782.00 	23729.00 	24061.00 	24529.00 	24591.00 	25228.00 	26075.00 b	27531.00 	28271.00 	28623.00 	30068.00 	32249.00 	35220.00 	37968.00 	40524.00 	43583.00 	46903.00 	49936.00 	51755.00 	53167.00 	54763.00 	56922.00 	59595.00 	63419.00 	64764.00 	65527.00 	67537.00 	69247.00 	70591.00 	73124.00 	73984.00 	75060.00 	76161.00 	77389.00 	78401.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,SI	: 	8698.00 d	8740.00 	8759.00 	8811.00 	8919.00 	8878.00 	8915.00 	9145.00 	8977.00 	9131.00 	9226.00 	9160.00 	9478.00 	9745.00 	9934.00 	10393.00 	10607.00 	10745.00 	10873.00 	10916.00 	11051.00 	11128.00 	11175.00 	11474.00 	11651.00 	11712.00 	11736.00 	11885.00 	12025.00 	12076.00 	12127.00 	: 	: 	: 	: 	12814.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,SK	: 	26441.00 	26642.00 	26613.00 	27178.00 	27709.00 	29136.00 	29426.00 	29818.00 	30096.00 	29800.00 	30484.00 b	29685.00 	31174.00 	32829.00 	33244.00 	34510.00 	35491.00 	35681.00 	36386.00 	37287.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_CUR,TR	: 	207610.00 	204887.00 	199953.00 	198063.00 	186274.00 	182603.00 	171078.00 	165623.00 	160396.00 	156800.00 	153437.00 	149191.00 	147890.00 	146737.00 	139303.00 	133610.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,AT	: 	5495.00 	4775.00 	4309.00 	3932.00 	3857.00 	3447.00 	3456.00 	3294.00 	3422.00 	3112.00 	2946.00 	2977.00 	3130.00 	3133.00 	2936.00 	3027.00 	3244.00 	3218.00 	3248.00 	3314.00 	3396.00 	3415.00 	3823.00 	3845.00 	3832.00 	3875.00 	3924.00 	4014.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,BE	1259.00 	1499.00 	1728.00 	1753.00 	1753.00 	1807.00 	1855.00 	1824.00 	1823.00 	1888.00 	1875.00 	1897.00 	1923.00 	2079.00 	2062.00 	1995.00 	1818.00 	1779.00 	1725.00 	1788.00 	1843.00 	1823.00 	4105.00 	4220.00 	4257.00 	4417.00 	4871.00 	: 	: 	: 	4779.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,BG	: 	1526.00 	1619.00 	1695.00 	1548.00 	1567.00 	1710.00 	1753.00 	1890.00 	1941.00 	1973.00 	1897.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,CY	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,CZ	: 	16510.00 	16228.00 	16020.00 	16089.00 	16305.00 	16364.00 	16201.00 	15937.00 	15864.00 	16097.00 	16275.00 	16255.00 	15712.00 	15062.00 	14858.00 	14728.00 b	3245.00 	2563.00 	1270.00 	1138.00 	448.00 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,DE	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,DK	242.00 	246.00 	233.00 	233.00 	208.00 	208.00 	184.00 	134.00 	122.00 	101.00 	65.00 	41.00 	22.00 	22.00 	12.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,EE	: 	1210.00 	1293.00 	1254.00 b	1739.00 	1545.00 	1557.00 	1470.00 	1488.00 	1348.00 	1288.00 	1238.00 	1089.00 	976.00 	959.00 	902.00 	828.00 	856.00 	820.00 	750.00 	720.00 	734.00 	987.00 b	346.00 	363.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,EL	: 	6570.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,ES	: 	24731.00 	25852.00 	26318.00 	27080.00 	27429.00 	27657.00 	27320.00 	27519.00 	27591.00 	28732.00 	28335.00 	29299.00 	29301.00 	29273.00 	28485.00 	28923.00 	29084.00 	28844.00 	29430.00 	29942.00 b	11940.00 	11525.00 	12423.00 	12622.00 	10971.00 	8462.00 	7101.00 	6699.00 	5978.00 	6123.00 	4948.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,FI	: 	6552.00 	7466.00 	8956.00 	10444.00 	11244.00 	12583.00 	14465.00 	15539.00 	16012.00 	16818.00 	16723.00 	16692.00 	17263.00 	17707.00 	18103.00 	18150.00 b	13730.00 	14041.00 	14212.00 	14495.00 	14681.00 	14397.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,FR	: 	31639.00 	31639.00 	31803.00 	32552.00 	32704.00 	34571.00 	47966.00 	61819.00 	67860.00 	68602.00 	72399.00 	76795.00 	79989.00 	82136.00 	84532.00 	84418.00 	83928.00 	84824.00 	83982.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,HR	: 	4082.00 	3700.00 	3664.00 	4082.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,HU	: 	17614.00 	17482.00 	17446.00 	17234.00 	16975.00 	17125.00 	16990.00 	16895.00 	17376.00 b	13367.00 	13100.00 	12938.00 	12913.00 	12973.00 	12907.00 	13325.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,IE	: 	640.00 	587.00 	692.00 	675.00 	763.00 	888.00 	932.00 b	6728.00 	6951.00 	6793.00 	6972.00 	7262.00 	6883.00 	6874.00 	6834.00 	6948.00 	7148.00 	7218.00 	7303.00 	6902.00 	6932.00 	6884.00 	6849.00 	7350.00 	7327.00 	7317.00 	7519.00 	7539.00 	7451.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,IS	113.00 	102.00 	107.00 	112.00 	111.00 	134.00 	140.00 	161.00 	176.00 	162.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,IT	: 	9144.00 	9280.00 	9584.00 	10105.00 	10498.00 	11164.00 	10986.00 	11143.00 	10980.00 	10300.00 	10047.00 	9738.00 	9387.00 	9429.00 	9956.00 	10120.00 	10527.00 	11535.00 	12240.00 	13071.00 	12207.00 	13027.00 	12432.00 	12697.00 	12496.00 	12842.00 	8991.00 	11544.00 	12078.00 	12510.00 	13944.00 	14209.00 	15212.00 	16305.00 	17335.00 	15930.00 	15665.00 	15146.00 	13893.00 	11398.00 	9980.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,LI	0.00 	0.00 	0.00 	0.00 	15.00 	15.00 	14.00 	14.00 b	30.00 	29.00 	28.00 	38.00 	39.00 	37.00 	39.00 	38.00 	39.00 	40.00 	42.00 	43.00 	44.00 	45.00 	46.00 	48.00 	50.00 	52.00 	58.00 	58.00 	58.00 	58.00 	58.00 	58.00 	58.00 	58.00 	58.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,LT	: 	923.00 d	972.00 d	985.00 d	1135.00 d	1210.00 d	1150.00 d	1231.00 d	1267.00 d	1277.00 d	1291.00 d	1298.00 d	1425.00 d	1702.00 d	2029.00 d	2105.00 d	2255.00 d	2071.00 d	1891.00 d	2005.00 d	2130.00 d	2260.00 d	2321.00 d	2250.00 d	2370.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,LU	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,LV	: 	1272.00 	1209.00 	1289.00 	1352.00 	1380.00 	1350.00 	1040.00 	1041.00 	1181.00 	1239.00 	1304.00 	1227.00 	1192.00 	1215.00 	1287.00 	1288.00 b	1155.00 	1285.00 	1315.00 	1650.00 	1695.00 	1730.00 	1440.00 	1689.00 	2229.00 	2295.00 	2305.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,MK	: 	1728.00 	1732.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,MT	211.00 	205.00 	205.00 b	10.00 	10.00 	10.00 	0.00 	0.00 	1018.00 	1225.00 	1140.00 	1106.00 	1145.00 	1039.00 	1031.00 	1024.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,NL	: 	: 	: 	7586.00 	7954.00 b	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,NO	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,PL	: 	505.00 	542.00 	728.00 	1355.00 b	1979.00 	1876.00 b	1919.00 	2674.00 b	14032.00 	14214.00 	14892.00 	15849.00 	15553.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,RO	: 	22830.00 	22131.00 	22874.00 	23606.00 	22899.00 	21938.00 	22270.00 b	19375.00 	19924.00 	22319.00 	23186.00 b	33572.00 	31861.00 	33901.00 	33742.00 	33708.00 	33474.00 b	26513.00 	27973.00 	27602.00 	27269.00 	27086.00 	28310.00 	24011.00 	23575.00 	23233.00 	22703.00 	22123.00 	21904.00 	19845.00 	19735.00 	: 	: 	: 	: 	16314.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,RS	: 	652.00 d	633.00 d	650.00 d	625.00 d	611.00 d	537.00 d	587.00 d	556.00 d	361.00 d	167.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,SE	: 	1637.00 	1758.00 	1799.00 	1846.00 b	2033.00 	2072.00 	2167.00 	2216.00 	2281.00 	2376.00 	2303.00 	2432.00 	2486.00 	2432.00 	2774.00 b	3189.00 	3502.00 	3627.00 	3740.00 	4699.00 	5581.00 	6284.00 	10691.00 	12600.00 b	45091.00 	45965.00 	47916.00 	49039.00 	50118.00 	51196.00 	51529.00 	49399.00 	48712.00 	47745.00 	45714.00 	44859.00 	43276.00 	41511.00 	40320.00 	39325.00 	37648.00 	36976.00 	34839.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,SI	: 	301.00 d	300.00 	302.00 	220.00 	237.00 	147.00 	132.00 	99.00 	90.00 	89.00 	93.00 	77.00 	70.00 	55.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,SK	: 	3931.00 	3906.00 	4017.00 	3940.00 	4119.00 	4847.00 	4906.00 	4838.00 	5303.00 	5453.00 	5068.00 b	6455.00 	6696.00 	6814.00 	7051.00 	6958.00 	6576.00 	6789.00 	6589.00 	6616.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_LT,TR	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,AT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,BE	4665.00 	4539.00 	4513.00 	4513.00 	4477.00 	4219.00 	4147.00 	4087.00 	3993.00 	3954.00 	3789.00 	3628.00 	3516.00 	3364.00 	3099.00 	3017.00 	2859.00 	2868.00 	2568.00 	2448.00 	2593.00 	2557.00 	1009.00 	954.00 	954.00 	954.00 	970.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,BG	: 	1075.00 	947.00 	853.00 	699.00 	646.00 	827.00 	847.00 	832.00 	838.00 	891.00 	960.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,CY	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,CZ	: 	2294.00 	2335.00 b	2082.00 	2087.00 	2132.00 	2216.00 	2230.00 	2326.00 	2504.00 	2590.00 	2708.00 	3096.00 	3111.00 	3274.00 	3305.00 	3389.00 b	4574.00 	4655.00 	4771.00 	4703.00 	4631.00 	: 	: 	: 	: 	4580.00 	: 	: 	: 	: 	4726.00 	: 	: 	: 	: 	5017.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,DE	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,DK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT_OTH,EE	: 	124.00 	128.00 	166.00 	163.00 	169.00 	166.00 	191.00 	193.00 	216.00 	216.00 	232.00 	242.00 	238.00 	289.00 	315.00 	317.00 	346.00 	356.00 	361.00 	381.00 	205.00 	340.00 	643.00 	672.00 	560.00 	800.00 	970.00 	955.00 	995.00 	995.00 	995.00 	: 	: 	: 	: 	1360.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
